"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
1050,1050,1041,1043,1014,999,0.00865,"East","Palouse","WA","Washington","53075","Whitman County",1003,"washington/palouse",1.047,-117.075,46.9103,"City",397
1045,1045,1076,1108,1317,1486,-0.02881,"West","Ames Lake","WA","Washington","53033","King County",652,"washington/ames-lake",1.602,-121.961,47.634,"CDP",398
1024,1024,1014,1014,984,1064,0.00986,"Northeast","Republic","WA","Washington","53019|53047","Ferry County",721,"washington/republic",1.42,-118.733,48.6488,"City",399
1019,1019,1028,1035,1054,750,-0.00875,"West","Ruston","WA","Washington","53053","Pierce County",3980,"washington/ruston",0.256,-122.512,47.298,"City",400
1010,1010,986,962,813,676,0.02434,"West","Brady","WA","Washington","53027|53045","Grays Harbor County",165,"washington/brady",6.112,-123.542,47.0046,"CDP",401
1000,1000,964,927,736,487,0.03734,"Northeast","Malott","WA","Washington","53047","Okanogan County",543,"washington/malott",1.841,-119.696,48.2918,"CDP",402
986,986,982,974,968,871,0.00407,"Northwest","La Conner","WA","Washington","53057","Skagit County",2477,"washington/la-conner",0.398,-122.494,48.3926,"Town",403
961,961,893,824,684,0,0.07615,"Southwest","Dollars Corner","WA","Washington","53011","Clark County",243,"washington/dollars-corner",3.957,-122.6,45.7802,"CDP",404
952,952,958,962,975,1036,-0.00626,"Northeast","Grand Coulee","WA","Washington","53017|53025|53047|53043","Douglas County",758,"washington/grand-coulee",1.256,-119.002,47.9391,"City",405
952,952,954,962,958,890,-0.0021,"West","Roslyn","WA","Washington","53037","Kittitas County",217,"washington/roslyn",4.39,-121.141,47.27,"City",406
942,942,946,948,958,981,-0.00423,"Northeast","Electric City","WA","Washington","53025|53017|53043","Grant County",474,"washington/electric-city",1.988,-119.046,47.913,"City",407
937,937,870,803,768,0,0.07701,"West","Erlands Point","WA","Washington","53035|53045","Kitsap County",1985,"washington/erlands-point",0.472,-122.694,47.6024,"CDP",408
936,936,926,932,896,913,0.0108,"East","Odessa","WA","Washington","53001|53043","Adams County",1153,"washington/odessa",0.812,-118.689,47.3326,"Town",409
933,933,924,931,896,870,0.00974,"East","Wilbur","WA","Washington","53043","Lincoln County",707,"washington/wilbur",1.319,-118.712,47.7581,"Town",410
923,923,1190,1457,5395,4660,-0.22437,"Northwest","Cavalero","WA","Washington","53061","Snohomish County",1960,"washington/cavalero",0.471,-122.077,47.975,"CDP",411
